Sentiment Entity	Freq	Synonym	leave/ remain	Politician
 Britain	7175	Great Britain		
 European Union	6075	European Union		
 EU	5873	European Union		
 UK	5523	Great Britain		
 Brexit	5112	Brexit		
 Europe	3481	Europe		
 U.S.	2076	USA		
 David Cameron	1902	David Cameron	remain	True
 US	1829	USA		
 European Union.	1603	European Union		
 EU.	1500	European Union		
 London	1360	London		
 Fed	1261	Fed		
 Federal Reserve	1180	Fed		
 China	1120	China		
 U.K.	1094	Great Britain		
 Germany	995	Germany		
 Japan	938	Japan		
 Janet Yellen	908	Janet Yellen		
 United Kingdom	812	Great Britain		
 Boris Johnson	742	Boris Johnson	leave	True
 Brussels	709	Brussels		
 Prime Minister	705	David Cameron		
 France	683	France		
 official	636			
 Asia	624	Asia		
 Reuters	614	Reuters		
 Scotland	606	Scotland		
 U.S. Federal Reserve	596	Fed		
 George Osborne	592	George Osborne	remain	True
 United States	575	USA		
 LONDON	563	London		
 Nigel Farage	548	Nigel Farage	leave	True
 Jeremy Corbyn	544	Jeremy Corbyn	remain	True
 Bank of England	520	Bank of England		
 Donald Trump	498	Trump		
 Northern Ireland	493	Northern Ireland		
 Brexit.	485	Brexit		
 Europe.	446	Europe		
 Bank of Japan	443	Bank of Japan		
 Michael Gove	423	Michael Gove	leave	True
 Prime Minister David Cameron	408	David Cameron	remain	True
 England	406	England		
 Hong Kong	401	Hong Kong		
 European Central Bank	385	ECB		
 Orlando	368	Orlando		
 Government	367			
 BBC	363	BBC		
 prime minister	356	David Cameron		
 NHS	332	NHS		
 UK.	325	Great Britain		
 Ireland	316	Ireland		
 president	316			
 President	311			
 Sterling	307	Pound		
 Twitter	304	 Twitter		
 Turkey	291	Turkey		
 Wales	286	Wales		
 analyst	283			
 BOJ	283	Bank of Japan		
 Paris	280	Paris		
 Canada	271	Canada		
 Chancellor	267			
 Labour	250	Labour Party		
 America	246	USA		
 India	236	India		
 Bloomberg	232	Bloomberg		
 chief executive	231			
 Australia	230	Australia		
 Russia	228	Russia		
 Switzerland	220	Switzerland		
 chief economist	211			
 FOMC	209	Fed		
 Treasury	209			
 OECD	208	OECD		
 US Federal Reserve	208	Fed		
 International Monetary Fund	207	IMF		
 professor	206			
 ITV	205	ITV		
 Facebook	202	Facebook		
 director	201			
 New York	199	New York		
 Spain	194	 Spain		
 South Korea	191	 South Korea		
 Tony Blair	191	Tony Blair	remain	True
 Secretary	190			
 Greece	189	 Greece		
 Yellen	189	Janet Yellen		
 ECB	187	ECB		
 MSCI	187	MSCI		
 WASHINGTON	185	Washington		
 Labour Party	179	Labour Party		
 Gordon Brown	173	Gordon Brown	remain	True
 Conservative Party	170	Conservative Party		
 OPEC	170	OPEC		
 Italy	168	 Italy		
 Brussels.	166	Brussels		
 Norway	165	Norway		
 Cameron	160	David Cameron	remain	True
 Sky News	159	 Sky News		
 chairman	157			
 partner	152			
 European Commission	150	European Commission		
 chancellor	149			
 Britain.	147	Great Britain		
 secretary	145			
 Hillary Clinton	143	Hilary Clinton		
 Nicola Sturgeon	143	Nicola Sturgeon	remain	True
 assault	142			
 TOKYO	142	Tokyo		
 Tokyo	138	Tokyo		
 Brent	137	Brent		
 Brent crude	131	Brent		
 Sweden	130	 Sweden		
 NEW YORK	127	New York		
 Chair Janet Yellen	126	Janet Yellen		
 Nigeria	126	Nigeria		
 Trump	125	Trump		
 ICM	122	ICM		
 Florida	119	Florida		
 CEO	118			
 Angela Merkel	117	Angela Merkel		
 Brexiteers	116	Brexiteers		
 The Federal Reserve	115	Fed		
 Barack Obama	114	Barack Obama		
 finance minister	114			
 Federal Open Market Committee	111	Fed		
 Denmark	109	 Denmark		
 Harvard	108	Harvard		
 Mark Carney	108	Mark Carney		
 IMF	107	IMF		
 Eurozone	105	Eurozone		
 Open Market Committee	105	Fed		
 Donald Tusk	104	Donald Tusk	remain	True
 managing director	103			
 Iraq	101	Iraq		
 Caroline Lucas	100	Caroline Lucas	remain	True
 Lael Brainard	100	Lael Brainard		False
 Syria	100	 Syria		
 New Zealand	99	 New Zealand		
 founder	98			
 Frankfurt	98	 Frankfurt		
 John Major	98	John Major	remain	True
 Mario Draghi	98	Mario Draghi		
 NBC	98	NBC		
 Shanghai	98	Shanghai		
 Priti Patel	95	Priti Patel	leave	True
 London.	93	London		
 NATO	93	NATO		
 British Green Party	91	Green Party		
 British People	91	British People		
 JPMorgan	91	JPMorgan		
 LinkedIn	91	LinkedIn		
 Tim Farron	91	Tim Farron	remain	True
 UKIP	91	UKIP		
 Barclays	90	Barclays		
 Middle East	90	Middle East		
 Philadelphia	89	 Philadelphia		
 football	88	football		
 HSBC	88	HSBC		
 Cologne	87	 Cologne		
 Iain Duncan Smith	87	Iain Duncan Smith	leave	True
 Berlin	84	 Berlin		
 European Council	84	European Council		
 Goldman Sachs	83	Goldman Sachs		
 Iran	83	 Iran		
 The Times	83	The Times		
 Washington	82	 Washington		
 Microsoft	81	 Microsoft		
 Beijing	80	 Beijing		
 British government	80	British government		
 eurozone	80	European Union		
 Poland	80	 Poland		
 Brazil	78	 Brazil		
 Daily Telegraph	78	Daily Telegraph		
 Enda Kenny	78	Enda Kenny	remain	True
 Swiss National Bank	78	Swiss National Bank		
 CNBC	76	CNBC		
 Massachusetts Institute of Technology	76	MIT		
 USD	76	USD		
 Africa	75	 Africa		
 Diane Swonk	75	 Diane Swonk		False
 murder	75			
 senior fellow	75			
 professor of economics	74			
 Brexit camp	73	leave		
 Der Spiegel	73	Der Spiegel		
 Peterson Institute for International Economics.	73	Peterson Institute for International Economics		
 Simon Johnson	73	 Simon Johnson		False
 David Blanchflower	72	 David Blanchflower		False
 Sir John Major	72	John Major	remain	True
 Eikon	71			
 Markit	71	Markit		
 Southeast Asia	71	Asia		
 Electoral Commission	70	Electoral Commission		
 West Texas Intermediate	70			
 Parliament	69			
 Deutsche Bank	68	Deutsche Bank		
 International Energy Agency	68	IEA		
 Manchester	68	 Manchester		
 GBP	67	Pound		
 Live Markets	67			
 Staff Writer	67			
 Greens	66	Green Party		
 Liberal Democrats	66	Liberal Democrat Party		
 Mr Cameron	66	David Cameron		
 The Electoral Commission	66	Electoral Commission		
 The Sun	66	The Sun		
