Var1	Freq	Synonym	Remain/leave	Politician
 Brexit	29259	Brexit		
 EU	26270	European Union		
 @Nigel_Farage	19136	Nigel Farage	leave	True
 UK	16351	United Kingdom		
 @theordinaryman2	13429	TheOrdinaryMan	leave	
 Cameron	11421	David Cameron	remain	True
 Britain	10801	Great Britain		
 @BorisJohnson	10190	Boris Johnson	leave	True
 NHS	7567	NHS		
 Nigel Farage	5862	Nigel Farage	leave	True
 Gove	5801	Michael Gove	leave	True
 Boris Johnson	5692	Boris Johnson	leave	True
 David Cameron	4827	David Cameron	remain	True
 @UKIP	4592	UKIP	leave	
 Europe	4486	Europe		
 Farage	4084	Nigel Farage	leave	True
 Corbyn	3735	Jeremy Corbyn	remain	True
 Johnson	3522	Boris Johnson	leave	True
 @David_Cameron	3486	David Cameron	remain	True
 Michael Gove	3454	Michael Gove	leave	True
 Jo Cox	3225	Jo Cox		True
 UKIP	3206	UKIP	leave	
 European Union	3164	European Union		
 Osborne	3002	George Osborne	remain	True
 @LeaveEUOfficial	2817	LEAVE.EU	leave	
 @vote_leave	2729	Leave Campaign	leave	
 Jeremy Corbyn	2685	 Jeremy Corbyn	remain	True
 @jeremycorbyn	2674	 Jeremy Corbyn	remain	True
 Boris	2346	Boris Johnson	leave	True
 John Major	1891	 John Major	remain	True
 Scotland	1870	Scotland		
 @UKLabour	1636	Labour Party		
 BBC	1412	 BBC		
 EU.	1366	European Union		
 London	1348	 London		
 Labour	1336	Labour Party		
 @UKIPNFKN	1333	BluKIP Nonsense	remain	
 Brussels	1291	 Brussels		
 @labourleave	1232	Labour Leave	leave	
 France	1232	 France		
 England	1229	 England		
 Theresa May	1131	 Theresa May		True
 @hrtbps	1095	hrtbps		
 George Osborne	1044	George Osborne		True
 @PeoplesNHS	1038	NHS		
 JCB	1029	 JCB		
 Chairman	1008			
 United Kingdom	1004	 United Kingdom		
 @johnmcdonnellMP	989	John McDonnell		True
 Prime Minister	966	David Cameron		True
 @EUVoteLeave23rd	920		leave	
 murder	907			
 Labour Party	890	Labour Party		
 Germany	871	 Germany		
 @DavidJo52951945	801	David Jones		
 Mr. Osborne	764	George Osborne		
 @SkyNews	686	Sky News		
 @George_Osborne	684	George Osborne		
 US	680	United States		
 @DavePrentis	659	Dave Prentis		
 ITV	639	ITV		
 Turkey	632	 Turkey		
 prime minister	614	David Cameron		
 @2tweetaboutit	611			
 Cameron & Osborne	585		remain	
 @BrexitNoww	576		leave	
 Mr. Cameron	567	David Cameron		
 350m	539			
 @UKIPPOOLE	528	Bob Lister		
 @UKLabourIN	514	Labour Party	remain	
 U.K.	506	United Kingdom		
 Government	487	Government		
 Nigel	481	Nigel Farage		
 @JamesMelville	477			
 @PrisonPlanet	465	 Paul Joseph Watson		
 chancellor	461			
 @Leavethe_EU	460		leave	
 @bbclaurak	451	Laura Kuenssberg		
 Norway	448	 Norway		
 Merkel	445	Angela Merkel		
 Gordon	441			
 @rog_ukip	440			
 @TulipSiddiq	435	Tulip Siddiq		True
 @StrongerIn	429		remain	
 Trump	429	Donald Trump		
 uk	428	United Kingdom		
 Blair	426	Tony Blair		
 @GeorgeAylett	424	George Aylett		
 Greece	417	 Greece		
 @BBCNews	415	BBC News		
 @Nigel_farage	415	Nigel Farage		
 @BritsLovePolls	412			
 Dave	410	David Cameron	remain	True
 official	409			
 @mehdirhasan	407	Mehdi Hasan		
 @guardian	402	The Guardian		
52%	395			
 Ireland	391	 Ireland		
 don	388			
 Murder	381			
 Wales	379	 Wales		
 @KazzJenkins	369			
 Parliament	357			
48%	349			
 eu	343	European Union		
 @LouiseMensch	338	Louise Mensch		
 Tory Brexit	329	Conservative Party	leave	
 @YouTube	321	Youtube		
 @Peston	320	Robert Peston		
 EUref Brexit	314			
 Northern Ireland	313	 Northern Ireland		
 @JeremyCorbyn	309	Jeremy Corbyn		
 European Parliament	304	 European Parliament		
 Switzerland	304	 Switzerland		
 Labour party	302	Labour Party		
 Labour government	300	Labour Party		
 YouTube	297	 YouTube		
